SpoersmaalNivaa;Spoersmaalgruppekode;Spoersmaalgruppe;Spoersmaalkode;Spoersmaalnavn;Skoleaarnavn;EnhetNivaa;Nasjonaltkode;Nasjonalt;Fylkekode;Fylke;Organisasjonsnummer;EnhetNavn;GruppeNivaa;GruppeKode;GruppeNavn;ProgramomraadeNivaa;UtdanningstypeKode;UtdanningstypeNavn;Utdanningsprogramkode;UtdanningsprogramNavn;TrinnNivaa;TrinnKode;Trinnnavn;EierformNivaa;Eierformkode;EierformNavn;KjoennNivaa;KjoennKode;Kjoenn;AndelMobbet;AntallBesvart;Sidenummer;RaderSide;RaderTotalt
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;IM;Informasjonsteknologi og medieproduksjon;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;FD;Frisør, blomster, interiør og eksponeringsdesign;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;FD;Frisør, blomster, interiør og eksponeringsdesign;1;2;Videregående trinn 2;0;-10;Alle eierformer;0;A;Alle kjønn;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;DT;Håndverk, design og produktutvikling;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;DT;Håndverk, design og produktutvikling;1;2;Videregående trinn 2;0;-10;Alle eierformer;0;A;Alle kjønn;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;HS;Helse- og oppvekstfag;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;TP;Teknologi- og industrifag;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;HS;Helse- og oppvekstfag;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;TP;Teknologi- og industrifag;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;RM;Restaurant- og matfag;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;BA;Bygg- og anleggsteknikk;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;NA;Naturbruk;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;BA;Bygg- og anleggsteknikk;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ID;Idrettsfag;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;NA;Naturbruk;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ID;Idrettsfag;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ST;Studiespesialisering;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;MD;Musikk, dans og drama;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;HS;Helse- og oppvekstfag;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;TP;Teknologi- og industrifag;1;3;Videregående trinn 3;0;-10;Alle eierformer;0;A;Alle kjønn;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;EL;Elektro og datateknologi;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;NA;Naturbruk;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;NA;Naturbruk;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;PB;Påbygging til generell studiekompetanse;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ID;Idrettsfag;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ST;Studiespesialisering;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;1;YRK;Yrkesfaglig;Alle;Yrkesfaglig;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;1;SFB;Studieforberedende;Alle;Studieforberedende;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;RM;Restaurant- og matfag;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;BA;Bygg- og anleggsteknikk;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;J;Jente;*;*;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;BA;Bygg- og anleggsteknikk;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;4,3;2;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;2,7;4;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;J;Jente;1,3;8;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;3;Videregående trinn 3;0;-10;Alle eierformer;1;G;Gutt;3,2;5;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;SR;Salg, service og reiseliv;1;2;Videregående trinn 2;0;-10;Alle eierformer;0;A;Alle kjønn;5,5;89;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;SR;Salg, service og reiseliv;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;5,3;46;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;SR;Salg, service og reiseliv;1;1;Videregående trinn 1;0;-10;Alle eierformer;0;A;Alle kjønn;6,4;113;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;SR;Salg, service og reiseliv;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;G;Gutt;6,1;60;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;IM;Informasjonsteknologi og medieproduksjon;1;1;Videregående trinn 1;0;-10;Alle eierformer;0;A;Alle kjønn;1,5;17;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;FD;Frisør, blomster, interiør og eksponeringsdesign;1;1;Videregående trinn 1;0;-10;Alle eierformer;0;A;Alle kjønn;4,7;41;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;2;Videregående trinn 2;0;-10;Alle eierformer;0;A;Alle kjønn;3,8;47;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;3,9;25;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;DT;Håndverk, design og produktutvikling;1;1;Videregående trinn 1;0;-10;Alle eierformer;0;A;Alle kjønn;4,8;12;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;1;Videregående trinn 1;0;-10;Alle eierformer;0;A;Alle kjønn;3,9;50;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;ME;Medier og kommunikasjon;1;1;Videregående trinn 1;0;-10;Alle eierformer;1;G;Gutt;4,1;26;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;J;Jente;2,7;16;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;2;Videregående trinn 2;0;-10;Alle eierformer;0;A;Alle kjønn;2,9;22;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;HS;Helse- og oppvekstfag;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;J;Jente;3,6;206;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;HS;Helse- og oppvekstfag;1;2;Videregående trinn 2;0;-10;Alle eierformer;0;A;Alle kjønn;3,7;249;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;SFB;Studieforberedende;KD;Kunst, design og arkitektur;1;1;Videregående trinn 1;0;-10;Alle eierformer;0;A;Alle kjønn;1,7;15;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;TP;Teknologi- og industrifag;1;2;Videregående trinn 2;0;-10;Alle eierformer;0;A;Alle kjønn;4,0;169;1;4999;4998
1;EUIndeks_1398;Mobbing på skolen;EUIndeks_1398;Mobbing på skolen;2021-22;1;I;Hele landet;00;Alle fylker;I;Hele landet;0;Alle;Alle grupper;2;YRK;Yrkesfaglig;TP;Teknologi- og industrifag;1;2;Videregående trinn 2;0;-10;Alle eierformer;1;G;Gutt;3,8;138;1;4999;4998
